p_codmes,monto,ctd_prod_rccsf_m01,prom_salvig_entprinc_pp_rccsf_03m,max_usotcrrstsf06m,max_usotcrrstsf03m,prm_lintcribksf06m,lin_tcribksf03m,lin_tcribksf06m,cre_salvig_pp_rccsf_m02,prm_usotcrrstsf06m,prm_lintcribksf03m,prm_usotcrrstsf03m,ratuso_tcrrstsf_m13,promctdprodrccsf3m,ratpct_saldopprcc_m13,promctdprodrccsf6m,ctd_actrccsf_6m,ctd_flgact_rccsf_m01,sld_ep1ppeallsfm01,prm_sldvigrstsf12m,sldtot_tcrsrcf,sldvig_tcrsrcf,flg_lintcrripsaga,flg_svtcrsrcf,flg_sdtcrripsaga,flg_sttcrsrcf,flg_svltcrsrcf,max_camptottlv06m,min_camptottlv06m,frc_camptottlv06m,rec_camptottlv06m,ctd_camptottlv06m,prm_camptottlv06m,max_campecstlv06m,min_campecstlv06m,frc_campecstlv06m,rec_campecstlv06m,ctd_campecstlv06m,prm_campecstlv06m,prob_value,max_camptot06m,min_camptot06m,frc_camptot06m,rec_camptot06m,ctd_camptot06m,prm_camptot06m,max_campecs06m,min_campecs06m,frc_campecs06m,rec_campecs06m,ctd_campecs06m,prm_campecs06m,ing_brt,sexo,flg_notdeseaecs01m,flg_notdeseaecs02m,flg_notdeseaecs03m,sgt_cem,ctd_proac,ctd_cttefeproac,ctd_cttefetot,rng_pst,edad,flg_saltothip12m,flg_saltotppe12m,prm_pctsaltototrent12m,prm_pctsaltotcaja12m,ant_saltot24m,ant_saltot12m,min_difsaltottcr12m,num_incrsaldispefe06m,max_difent12m,num_dismsalppecons06m,seg_un,beta_pctusotcr12m,prm_pctusosaltottcr03m,dsv_saltotppe03m,prm_diasatrrdpn12m,dsv_numentrdlintcr03m,rat_disefepnm01,prm_diasatrrdpn06m,pct_usotcrm01,dsv_numentrdlintcr06m,beta_saltotppe12m,prm_entrd03m,ctd_entrdm01,beta_saltotppe06m,prm_diasatrrd03m,key_value_enc,grp_camptottlv06m_enc,grp_campecstlv06m_enc,grp_camptot06m_enc,grp_campecs06m_enc,region_enc,ubigeo_buro_enc,grp_riesgociiu_enc,target
201911,10800.0,4,2782.997,0.0,0.0,4400.0,13200.0,26400.0,-0.211,0.0,4400.0,0.0,0.0,3,1.012,2,9,2,2565.68,5703.929,0.0,0.0,0,0,0,0,0,1,0,3,5,3,1.0,0,0,0,0,0.0,0.0,0.3471950368915905,7.0,3.0,6.0,6.0,30.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,2036.0,1.0,0.0,0.0,0.0,6.0,19.0,1.0,1.0,5.0,40.0,0.0,1.0,47.905,40.49,24.0,12.0,-928.1,0.0,1.0,1.0,2.0,-0.034,0.003,283.94734,2.286,0.4714,0.0,0.0,0.0,0.74536,-465.361,1.667,1.0,-217.159,0.0,10551,2,0,4,1,5,10,5,0
201911,30000.0,10,16508.81,0.125,0.093,11100.0,33300.0,66600.0,-0.038,0.096,11100.0,0.088,0.914,10,0.826,10,12,2,13817.56,54649.16,0.0,0.0,1,0,1,0,0,2,1,6,6,7,1.167,2,0,4,6,5.0,1.25,0.4545094722291188,6.0,3.0,6.0,6.0,27.0,4.5,2.0,0.0,5.0,6.0,6.0,1.2,9432.0,1.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,5.0,46.0,0.0,1.0,15.066,0.0,24.0,12.0,-50915.25,0.0,0.0,5.0,2.0,-0.006,0.084,3423.81785,0.0,0.0,0.0,0.0,0.081,0.0,-1912.102,1.667,1.0,-2135.512,0.0,59436,4,3,4,3,5,10,4,0
201911,16800.0,6,7983.46,0.313,0.222,16866.667,47200.0,101200.0,-0.026,0.241,15733.333,0.203,0.842,6,1.022,5,18,3,7875.3,14165.722,334.0,334.0,1,1,1,1,1,2,1,6,6,7,1.167,1,0,5,6,5.0,1.0,0.6382620812943334,9.0,5.0,6.0,6.0,40.0,6.667,1.0,0.0,5.0,6.0,5.0,1.0,3957.0,1.0,0.0,0.0,0.0,6.0,23.0,4.0,4.0,5.0,44.0,0.0,1.0,12.969,60.307,24.0,12.0,-15171.37,0.0,0.0,4.0,2.0,-0.038,0.045,579.02491,0.0,0.0,0.0,0.0,0.044,0.0,348.192,5.0,5.0,1229.425,0.0,28036,4,3,4,3,0,8,2,0
201910,11500.0,3,1713.243,0.671,0.602,11000.0,33000.0,66000.0,-0.399,0.365,11000.0,0.255,4.595,3,0.329,3,12,2,1032.28,2071.402,2949.53,2949.53,1,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.5806525099148923,5.0,3.0,6.0,6.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,1.0,0.0,0.0,0.0,6.0,13.0,1.0,1.0,5.0,31.0,0.0,1.0,0.0,0.0,24.0,12.0,-4311.85,0.0,0.0,5.0,2.0,-0.031,0.079,554.65517,0.0,0.0,0.0,0.0,0.186,0.0,-744.712,2.0,2.0,-819.336,0.0,26142,0,0,4,0,3,3,5,0
201909,40300.0,3,0.0,0.73,0.73,16866.667,80800.0,101200.0,0.0,0.367,26933.333,0.536,1.953,3,0.0,3,6,1,0.0,7960.657,0.0,0.0,0,0,0,0,0,3,1,6,6,9,1.5,1,0,4,6,4.0,1.0,0.5591080997374186,10.0,5.0,6.0,6.0,48.0,8.0,1.0,0.0,4.0,6.0,4.0,1.0,7125.0,1.0,0.0,0.0,0.0,6.0,29.0,3.0,3.0,5.0,28.0,0.0,1.0,0.0,0.0,24.0,12.0,-2265.32,0.0,1.0,0.0,2.0,0.013,0.306,429.36665500000004,0.0,0.0,0.0,0.0,0.323,0.0,-168.786,3.0,3.0,-405.651,0.0,11750,4,3,4,3,4,8,3,0
201909,29600.0,5,0.0,0.037,0.037,30292.698,88442.91,181756.19,0.0,0.022,29480.97,0.027,0.486,5,0.0,5,12,2,0.0,28139.733,171.9,171.9,0,1,0,1,1,1,0,5,6,5,1.0,1,0,4,6,4.0,1.0,0.4272056530105707,7.0,4.0,6.0,6.0,33.0,5.5,1.0,0.0,4.0,6.0,4.0,1.0,4931.0,1.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,5.0,44.0,0.0,0.0,0.0,0.0,24.0,12.0,-1613.95,0.0,1.0,5.0,2.0,0.006,0.135,581.9439,0.0,0.0,0.0,0.0,0.119,0.37268,-684.316,3.0,3.0,-705.464,0.0,31626,3,3,4,3,5,10,4,0
201911,8100.0,3,0.0,0.895,0.547,4200.0,12600.0,25200.0,0.0,0.434,4200.0,0.315,0.274,3,0.0,3,12,2,0.0,275714.878,0.0,0.0,0,0,0,0,0,1,0,1,6,1,1.0,1,0,1,6,1.0,1.0,0.4786152753216598,5.0,3.0,6.0,6.0,26.0,4.333,1.0,0.0,1.0,6.0,1.0,1.0,2458.0,1.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,5.0,27.0,1.0,0.0,0.0,0.0,22.0,12.0,-2755.97,0.0,1.0,0.0,2.0,-0.014,0.442,429.36665500000004,0.0,0.0,0.0,0.0,0.094,0.0,-304.273,2.0,2.0,-405.651,0.0,23933,2,2,4,2,3,3,5,0
201910,8900.0,5,0.0,0.574,0.574,6983.333,33800.0,41900.0,0.0,0.309,11266.667,0.451,1.868,5,0.0,4,6,1,0.0,3258.542,2106.44,2106.44,1,1,1,1,1,1,0,1,5,1,1.0,1,0,1,5,1.0,1.0,0.5437220417814514,7.0,2.0,6.0,6.0,24.0,4.0,1.0,0.0,1.0,5.0,1.0,1.0,3897.0,1.0,0.0,0.0,0.0,6.0,9.0,1.0,1.0,5.0,25.0,0.0,1.0,0.0,0.0,20.0,12.0,-3250.07,1.0,2.0,0.0,4.0,0.022,0.442,429.36665500000004,0.0,0.0,0.01,0.0,0.608,0.74536,-304.273,5.0,5.0,-405.651,0.0,58581,2,2,4,2,3,0,5,0
201911,36500.0,6,0.0,0.175,0.175,27500.0,82500.0,165000.0,0.0,0.154,27500.0,0.163,0.891,6,0.0,6,6,1,0.0,7838.568,6307.18,6307.18,1,1,1,1,1,2,0,3,6,4,1.333,1,0,2,6,2.0,1.0,0.4581424548950401,8.0,3.0,6.0,6.0,31.0,5.167,1.0,0.0,3.0,6.0,3.0,1.0,6067.0,1.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,5.0,44.0,0.0,0.0,0.0,0.0,24.0,12.0,-1311.26,2.0,0.0,0.0,5.0,0.005,0.111,429.36665500000004,6.167,0.0,0.207,0.0,0.107,0.0,-304.273,4.333,4.0,-405.651,0.0,39501,2,2,4,2,3,6,6,0
201910,10800.0,4,7152.62,0.206,0.159,10233.333,34400.0,61400.0,-0.038,0.126,11466.667,0.119,0.579,4,1.008,4,12,2,6882.03,9409.935,0.0,0.0,0,0,0,0,0,2,1,6,6,8,1.333,2,0,5,6,6.0,1.2,0.6686271556531749,8.0,5.0,6.0,6.0,40.0,6.667,2.0,0.0,5.0,6.0,6.0,1.2,3131.0,1.0,0.0,0.0,0.0,6.0,21.0,3.0,3.0,5.0,27.0,0.0,1.0,0.0,0.0,24.0,12.0,-1652.45,0.0,1.0,4.0,2.0,-0.017,0.121,220.88684,0.0,0.0,0.0,0.0,0.11,0.4714,-258.024,2.0,2.0,-228.781,0.0,44005,4,3,4,3,3,6,5,0
